id,ANCHEYEAR,STATE,FUNDAM,MEMNUM,FARNUM,ANNNEWMEMNUM,ANNREDMEMNUM,EMPNUM,EMPNUMSIGN,BUSSTNAME,COLGRANUM,RETSOLNUM,DISPERNUM,UNENUM,COLEMPLNUM,RETEMPLNUM,DISEMPLNUM,UNEEMPLNUM,WEBSITSIGN,FORINVESTSIGN,STOCKTRANSIGN,PUBSTATE
9c7fa510616a683058ce97d0bc768a621cd85ab1e87da2a3,2017.0,2.0,5.0,,,,,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,3.0
9c7fa510616a683058ce97d0bc768a621cd85ab1e87da2a3,2018.0,2.0,2.0,,,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,3.0
f000950527a6feb63ee1ce82bb22ddd1ab8b8fdffa3b91fb,2017.0,2.0,,,,,,4.0,2.0,开业,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0
f000950527a6feb63ee1ce82bb22ddd1ab8b8fdffa3b91fb,2018.0,2.0,,,,,,3.0,2.0,开业,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0
9c7fa510616a68309e4badf2a7a3123c0462fb85bf28ef17,2017.0,2.0,5.0,,,,,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,3.0
9c7fa510616a68309e4badf2a7a3123c0462fb85bf28ef17,2018.0,2.0,22.0,,,,,22.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,3.0
755db3b5c5f74eb48564a8be9d4a9d7038ed96bc2eea645c,2018.0,2.0,2.0,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,3.0
e9f7b28ec10e0470287f274dd5a327519e74d2eb9506faad,2016.0,2.0,,,,,,8.0,2.0,开业,,,,,,,,,2.0,2.0,2.0,3.0
e9f7b28ec10e0470287f274dd5a327519e74d2eb9506faad,2017.0,2.0,,,,,,8.0,2.0,开业,,,,,,,,,2.0,2.0,2.0,3.0
e9f7b28ec10e0470287f274dd5a327519e74d2eb9506faad,2018.0,2.0,,,,,,1.0,2.0,开业,,,,,,,,,2.0,2.0,2.0,3.0
f000950527a6feb6253f50f16bd8640f3bc1fa52d1fdbe29,2016.0,2.0,,,,,,1.0,2.0,开业,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,3.0
f000950527a6feb6253f50f16bd8640f3bc1fa52d1fdbe29,2017.0,2.0,,,,,,0.0,2.0,开业,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,3.0
f000950527a6feb6253f50f16bd8640f3bc1fa52d1fdbe29,2018.0,2.0,,,,,,1.0,2.0,开业,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,3.0
da8691b210adb3f6334a7abb56fbae858620b23304f160b5,2015.0,2.0,30.0,,,,,2.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,,3.0
