id,positive_negtive,public_date
f000950527a6feb62669d6a175fe6fdccd1eb4f7ca8e5016,积极,2016-12-30
f000950527a6feb6e8bd9919e2ca363359bcfa997a0f9de7,中立,2017-08-09
f000950527a6feb6e8bd9919e2ca363359bcfa997a0f9de7,消极,2016-02-29
d8071a739aa75a3bcf6fb0041ee883243251d30025ab9d45,中立,2018-06-08
f000950527a6feb6d71de3382afa0bc5ff87bb65477f698a,积极,2015-06-29
f000950527a6feb6d71de3382afa0bc5ff87bb65477f698a,积极,2015-06-15
f000950527a6feb65929509d9be855bf75b7337d4465843e,积极,2019-10-26
f000950527a6feb65929509d9be855bf75b7337d4465843e,积极,2017-11-01
f000950527a6feb68b2de1c0fb54cf2919d4029742a7a1c4,中立,2018-04-20
f000950527a6feb68b2de1c0fb54cf2919d4029742a7a1c4,中立,2018-01-08
f000950527a6feb68b2de1c0fb54cf2919d4029742a7a1c4,中立,2017-12-14
f000950527a6feb68b2de1c0fb54cf2919d4029742a7a1c4,中立,2015-05-12
f000950527a6feb6501a4840649c985816c6be5d44f1a75a,积极,2017-11-28
f000950527a6feb6501a4840649c985816c6be5d44f1a75a,积极,2016-10-17
82750f1b9d12235035ad8f3632856b959e013d97f2170e2d,中立,2019-03-29
f000950527a6feb64f2d2faa5a702172f4865679e49897c7,积极,2019-04-18
f000950527a6feb63837cba9eb06ef53fcb936ace7e8526a,中立,2018-04-11
f000950527a6feb63837cba9eb06ef53fcb936ace7e8526a,中立,2016-07-14
e9f7b28ec10e04708cf1cc7451ba3008f9232249d39aaa3f,消极,2018-04-02
e9f7b28ec10e04708cf1cc7451ba3008f9232249d39aaa3f,中立,2016-07-20
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-09-10
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2020-03-24
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2020-03-23
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-03-09
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2020-02-29
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2020-02-27
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-02-09
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-02-05
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2020-01-15
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-01-15
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-01-15
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2020-09-10
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-01-02
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2019-12-27
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2019-10-21
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2019-10-09
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2019-08-23
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,消极,2019-01-24
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2018-05-04
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2018-04-28
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2018-03-31
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2018-01-25
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-09-08
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2017-12-06
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2017-11-19
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2017-10-25
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2017-10-11
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,消极,2017-09-13
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2017-09-01
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2017-08-06
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2017-02-10
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2016-12-14
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2016-12-02
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2020-08-13
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2016-11-23
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2016-11-22
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2016-11-01
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2016-08-01
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2016-07-07
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2016-05-28
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2016-05-25
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2016-03-09
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2014-04-20
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2012-08-07
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2020-07-16
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,2009-06-12
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-05-23
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-05-21
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-05-20
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,2020-05-20
e9f7b28ec10e04708dd007320afd4d5d0a478147c382ae7f,积极,2018-03-01
e9f7b28ec10e0470ba957e507133bfd03ff4fd49926766b8,积极,2018-07-09
e9f7b28ec10e0470ba957e507133bfd03ff4fd49926766b8,积极,2018-01-30
d8071a739aa75a3b91978970bf283fb96e0c06d08f3d4c79,中立,2020-02-19
d8071a739aa75a3b91978970bf283fb96e0c06d08f3d4c79,积极,2017-04-24
d8071a739aa75a3b91978970bf283fb96e0c06d08f3d4c79,积极,2017-04-20
d8071a739aa75a3b91978970bf283fb96e0c06d08f3d4c79,积极,2017-04-20
d8071a739aa75a3be21c7db02e78e17e03e99dfffdbb3bfd,消极,2020-03-17
f000950527a6feb62d99fe457039c2553ef438f4620cc8a3,积极,2018-02-09
f000950527a6feb665893a24826f7e6c6e5bdc6ddd377f42,中立,2013-10-25
f000950527a6feb6d279b1521a961598c6b64770e523bc8f,积极,2018-11-25
f000950527a6feb692fe2f601da181ab35ff0e774689ab27,消极,2017-03-15
f000950527a6feb692fe2f601da181ab35ff0e774689ab27,消极,2016-10-11
