id,legal_judgment_num,brand_num,patent_num
f000950527a6feb6d340f91da09e61347d8200cd2f0d1602,4.0,,
f000950527a6feb608dd9322b74a99f60851207f36a3c94c,1.0,,
d8071a739aa75a3b9f23966f8dae78fd226c272515b9c255,2.0,,
216bd2aaf4d079242209b1496f81a36c7abed9dd0bb65ed3,,1.0,
e9f7b28ec10e0470de9631c789f49acdd4e7cf9ed6db094b,,2.0,
d8071a739aa75a3bcf6fb0041ee883243251d30025ab9d45,1.0,,
f000950527a6feb6f97af739bb95531db891a11df80bdb8b,3.0,,
f000950527a6feb65929509d9be855bf75b7337d4465843e,47.0,,
f000950527a6feb6a81704c38a21ae17f4f09eaa9aa77bea,,3.0,
f000950527a6feb6c0ab37e6eb4a4bf25ee20f0ff9ff070d,,1.0,
82750f1b9d1223506c304585e5f7ad7928810dc983b86b31,,1.0,
d8071a739aa75a3bc42a2c5242f2397861fa33d6cc700d1c,,3.0,
e9f7b28ec10e0470bbec8c542b9ade3c665dbfa616e7a0d6,,6.0,
f000950527a6feb6b018bff1819a0605429820fa2072b0d6,1.0,,
59b38c56de38368391bec049f23801f60e875733011c2a1b,6.0,,
f000950527a6feb6abf416594bb1f7470a2dfc05306efac3,,3.0,
f000950527a6feb68b2de1c0fb54cf2919d4029742a7a1c4,1.0,,
216bd2aaf4d0792477d874113d0a23613888ba52f31dfe2a,,1.0,
e9f7b28ec10e047039ef2e92c4f75351547372521e95141c,,1.0,
e9f7b28ec10e0470d21aa86436d886023637b37d4b3e94a2,,23.0,
f000950527a6feb68f92f714638e43b8c7bb85f2a1fcc631,,16.0,
f000950527a6feb6a910c086edfe43b53c469ce19f24bc1f,2.0,1.0,
f000950527a6feb60d98fe51cf38846ebf074c561a7b5d28,2.0,2.0,
216bd2aaf4d0792496791f99c798fdad2b3b441701be03c2,,1.0,
f000950527a6feb641366f1b7ea19bf0ece362eab11326e9,,,21.0
f000950527a6feb63837cba9eb06ef53fcb936ace7e8526a,,1.0,
4a8fc4f3fb4d8a0f65bf8522bf08d5403c0ce06237afee58,1.0,,
e9f7b28ec10e04708cf1cc7451ba3008f9232249d39aaa3f,23.0,,
f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,6.0,,13.0
f000950527a6feb680b60037d9fe53ff85b087616391ea25,,1.0,101.0
f000950527a6feb6b3f26e165db7cbfda1dac54442bff02c,3.0,,
e9f7b28ec10e04708dd007320afd4d5d0a478147c382ae7f,,26.0,
d8071a739aa75a3b93d5afd813202bc7e8610a6b3434f642,1.0,,
f000950527a6feb62c2e14ebbbc3f4156477700c8d8d9989,1.0,,
e9f7b28ec10e04709824507f10644b9cff0be2426a67706c,,,6.0
f000950527a6feb6d31ea19841be3257957cfe4af8a02b21,5.0,,
e9f7b28ec10e0470ba957e507133bfd03ff4fd49926766b8,,3.0,
d8071a739aa75a3b2259d09c69d198c4893a1bb0148ea1d5,,,18.0
f000950527a6feb6d3f6c61cf36aedb574069da3d2b45582,,15.0,99.0
d8071a739aa75a3b91978970bf283fb96e0c06d08f3d4c79,,,13.0
59b38c56de3836834dd90f833617549fd66d09d2ea3952d0,,1.0,
f000950527a6feb66d0448b0d4a7af95a4d4e4c8eb350f43,2.0,,
d8071a739aa75a3be21c7db02e78e17e03e99dfffdbb3bfd,93.0,,
d8071a739aa75a3b0d0baef68ccca70c2c94f1ad9a1ed7a0,,3.0,
82750f1b9d1223501516842969a7e441b327199c9000ffde,2.0,,
f000950527a6feb6b9e9c5a82689e87ee128abcf72ca7b96,,2.0,
82750f1b9d1223503ecc6ee10078ae4387e30e3ba38f78b2,,6.0,
f000950527a6feb6f3918fb7f535b33e31ed673bf6e72489,10.0,,
216bd2aaf4d07924ba3b8c46d63f5ce6597b2b6355c5cc32,,168.0,
216bd2aaf4d079245c638bf14e902d367c778bb6838a111a,,2.0,
f000950527a6feb6d279b1521a961598c6b64770e523bc8f,,,1.0
d8071a739aa75a3b93b4ffae2379c1164326cc1566add79e,,417.0,
e9f7b28ec10e0470662f0909f2364cc7912f20795b95970c,2.0,,
d8071a739aa75a3b97a4fb53823447902549fb71fa3c241d,,1.0,
d8071a739aa75a3b658ba761b41941a76386026e8a909382,1.0,,
f000950527a6feb69f121c96dd76aeb43d0cf40bd3742264,,3.0,
f000950527a6feb6e1d62837b316886edd329d32e4c98ce8,,1.0,2.0
f000950527a6feb6617847250aed77a4f974b110c2e5f2da,7.0,,
f000950527a6feb6e37644fd41470c3b2d5aaaeb67ee4cfc,2.0,60.0,29.0
f000950527a6feb62d929c78f7963ba317a926419cb78189,,4.0,
d8071a739aa75a3bf5e0f0feb07d3617979c7a7cf587058e,,,51.0
f000950527a6feb68e6ea1464fddb749f4237d105ae0c390,,1.0,
f000950527a6feb6a9a752cf612e974f1d73b61f1fb1babb,,3.0,
216bd2aaf4d07924ce19d145286eeb0e40ec928391e6951f,,207.0,
f000950527a6feb669866ec801a325322d291e76ac355256,1.0,,
f000950527a6feb64b575ae539e0163e0e68f13f3dc9808e,2.0,,
f000950527a6feb6fd2d6dcc24a3644398fed3033c06d7bd,1.0,14.0,153.0
e9f7b28ec10e0470384cc209a9061f171d9a8f86aa9ce8f3,1.0,,
e9f7b28ec10e0470c7f2b256066759b19b4b9c4253c96564,40.0,,
f000950527a6feb61d2b8189744a3d75c350def2b4a8da53,1.0,,
f000950527a6feb6f937e00665996909cebdf38b18c7ebb2,,1.0,
