id,START_DATE,END_DATE,TAX_CATEGORIES,TAX_ITEMS,TAXATION_BASIS,TAX_RATE,DEDUCTION,TAX_AMOUNT
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,工伤保险（单位）,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,失业保险（单位）,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,医疗保险（单位）,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,企业养老保险基金（单位）,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,烟叶收购,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,原油,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,技术合同,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,城市维护建设税,金融保险营业税额,2112.56,0.07,0.0,147.88
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,城市维护建设税,优惠税率１,2112.56,0.07,0.0,147.88
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,城市维护建设税,铁路运输,2112.56,0.07,0.0,147.88
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,城市维护建设税,一类地区,2112.56,0.07,0.0,147.88
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,城市维护建设税,增值税附征(市区),2112.56,0.07,0.0,147.88
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,城市维护建设税,土地增值额（未超过50%）,2112.56,0.07,0.0,147.88
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,城市维护建设税,20人以上汽车及2.2升以上小轿车,2112.56,0.07,0.0,147.88
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,商业销售收入,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,偶然所得,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,住宿费,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,大额医疗统筹(单位),72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,职工标准工资,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,计费折旧总值,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,营业税随征,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,残疾人保障金,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,税务代保管资金利息,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,城镇居民医疗保险费,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2015/09/01,2015/09/30,印花税,生育保险（机关事业）,72530.75,0.0003,-0.04,21.8
f000950527a6feb6c2f40c9d8477e73a439dfa0897830397,2016/07/01,2016/07/31,印花税,技术合同,,,,46.14
